ARRAY_ID	CHEMICAL	DOSE	VEHICLE	ROUTE	DURATION	ORGAN_OR_CELL_TYPE	ANIMAL_ID	SEX	SPECIES	STRAIN	STUDY_TYPE	RNA_ID	TOXICOLOGY_EXPERIMENT_DATE	RNA_EXTRACTION_DATE	cRNA_PREP_DATE	HYB_DATE
92023.CEL	NAPROXEN	10 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011023-249	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95644	10/23/2001	10/11/2005	10/13/2005	10/25/2005
92181.CEL			SALINE 100 %	ORAL GAVAGE	.25 d	KIDNEY	I011106-001	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95795	11/06/2001	10/14/2005	10/19/2005	11/01/2005
92280.CEL	FLUOXETINE	52 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	R020730-112	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95896	07/30/2002	10/20/2005	10/24/2005	11/03/2005
92429.CEL	ATORVASTATIN	2.5 mg/kg	CORN OIL 100 %	ORAL GAVAGE	.25 d	KIDNEY	S011030-146	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95994	10/30/2001	10/25/2005	10/28/2005	11/08/2005
91939.CEL	LEFLUNOMIDE	30 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011009-115	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95602	10/09/2001	10/10/2005	10/11/2005	10/24/2005
91903.CEL	DIETHYLSTILBESTROL	2.8 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011030-175	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95562	10/30/2001	10/10/2005	10/11/2005	10/18/2005
91913.CEL	NEOMYCIN	877 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	S011127-119	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95573	11/27/2001	10/10/2005	10/11/2005	10/19/2005
92557.CEL	SULBACTAM	671 mg/kg	SALINE 100 %	INTRAVENOUS	5 d	KIDNEY	S020930-262	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96170	09/30/2002	10/28/2005	11/01/2005	11/10/2005
92687.CEL	AMPIROXICAM	94 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	S030916-046	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96302	09/16/2003	11/01/2005	11/03/2005	11/15/2005
92261.CEL			SALINE 100 %	ORAL GAVAGE	.25 d	KIDNEY	I011106-002	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95877	11/06/2001	10/18/2005	10/24/2005	11/02/2005
92347.CEL	AMIKACIN	82 mg/kg	SALINE 100 %	INTRAVENOUS	1 d	KIDNEY	S020115-041	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95962	01/15/2002	10/20/2005	10/26/2005	11/07/2005
92346.CEL			SALINE 100 %	INTRAVENOUS	1 d	KIDNEY	S020115-009	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95961	01/15/2002	10/20/2005	10/26/2005	11/07/2005
92531.CEL	N,N-DIMETHYLFORMAMIDE	1400 mg/kg	SALINE 100 %	ORAL GAVAGE	5 d	KIDNEY	I011106-096	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96144	11/06/2001	10/28/2005	11/01/2005	11/10/2005
92584.CEL	CADMIUM CHLORIDE	2 mg/kg	SALINE 100 %	INTRAPERITONEAL	5 d	KIDNEY	R030501-041	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96197	05/01/2003	10/28/2005	11/01/2005	11/10/2005
92572.CEL	INDOMETHACIN	9.6 mg/kg	WATER 100 %	ORAL GAVAGE	3 d	KIDNEY	S011204-259	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96185	12/04/2001	10/28/2005	11/01/2005	11/10/2005
92618.CEL	INDOMETHACIN	4.5 mg/kg	WATER 100 %	ORAL GAVAGE	3 d	KIDNEY	S011009-151	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96233	10/09/2001	11/01/2005	11/03/2005	11/14/2005
92107.CEL	ASPIRIN	375 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S011106-088	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95755	11/06/2001	10/14/2005	10/17/2005	10/31/2005
92092.CEL	FENOFIBRATE	215 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	S011204-204	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95725	12/04/2001	10/14/2005	10/17/2005	10/31/2005
92152.CEL	IBUPROFEN	263 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	S011016-059	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95745	10/16/2001	10/14/2005	10/17/2005	10/31/2005
92408.CEL			SALINE 100 %	ORAL GAVAGE	1 d	KIDNEY	S011030-249	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96063	10/30/2001	10/21/2005	10/26/2005	11/08/2005
92123.CEL	CLOFIBRATE	500 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011002-080	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95575	10/02/2001	10/14/2005	10/17/2005	10/27/2005
92085.CEL	PIROXICAM	14 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	R020514-136	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95728	05/14/2002	10/14/2005	10/17/2005	10/31/2005
92551.CEL			SALINE 100 %	ORAL GAVAGE	1 d	KIDNEY	I011106-010	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96164	11/06/2001	10/28/2005	11/01/2005	11/10/2005
92679.CEL	LEAD (II) ACETATE	2 mg/kg	SALINE 100 %	INTRAPERITONEAL	5 d	KIDNEY	R030501-163	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96294	05/01/2003	11/01/2005	11/03/2005	11/15/2005
92711.CEL	QUINAPRIL	2500 mg/kg	CMC .5 %	ORAL GAVAGE	.25 d	KIDNEY	S020408-327	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96327	04/08/2002	11/03/2005	11/06/2005	11/15/2005
92246.CEL	ETHAMBUTOL	998 mg/kg	CMC .5 %	ORAL GAVAGE	3 d	KIDNEY	R020716-187	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95862	07/16/2002	10/18/2005	10/24/2005	11/02/2005
92119.CEL	NAPROXEN	10 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011023-247	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95754	10/23/2001	10/14/2005	10/17/2005	10/31/2005
91914.CEL			CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S020429-014	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95574	04/29/2002	10/10/2005	10/11/2005	10/19/2005
92269.CEL	CARBOPLATIN	14 mg/kg	SALINE 100 %	INTRAVENOUS	1 d	KIDNEY	S020108-041	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95885	01/08/2002	10/18/2005	10/24/2005	11/02/2005
92243.CEL			CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	R020910-007	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95859	09/10/2002	10/18/2005	10/19/2005	11/02/2005
92478.CEL			WATER 100 %	ORAL GAVAGE	5 d	KIDNEY	S020715-024	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96092	07/15/2002	10/25/2005	10/28/2005	11/09/2005
91999.CEL	CLOFIBRATE	500 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011002-081	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95619	10/02/2001	10/10/2005	10/13/2005	10/24/2005
92013.CEL	ENROFLOXACIN	2000 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	R020423-042	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95634	04/23/2002	10/11/2005	10/17/2005	10/27/2005
92159.CEL	CYCLOSPORIN A	350 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	S011009-059	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95773	10/09/2001	10/14/2005	10/19/2005	11/01/2005
92030.CEL	ATORVASTATIN	300 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S011030-160	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95651	10/30/2001	10/11/2005	10/13/2005	10/25/2005
92376.CEL	CEPHALEXIN	2500 mg/kg	CMC .5 %	ORAL GAVAGE	3 d	KIDNEY	S020429-331	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96017	04/29/2002	10/21/2005	10/26/2005	11/07/2005
92151.CEL	IBUPROFEN	263 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	S011016-058	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95698	10/16/2001	10/11/2005	10/17/2005	10/27/2005
92274.CEL	LIPOPOLYSACCHARIDE E. COLI O55:B5	1.25 mg/kg	SALINE 100 %	INTRAVENOUS	5 d	KIDNEY	S020325-095	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95890	03/25/2002	10/20/2005	10/24/2005	11/02/2005
92199.CEL			SALINE 100 %	ORAL GAVAGE	.25 d	KIDNEY	I011106-005	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95814	11/06/2001	10/18/2005	10/19/2005	11/01/2005
92333.CEL	BENAZEPRIL	1750 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	S020610-095	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95949	06/10/2002	10/20/2005	10/24/2005	11/03/2005
92022.CEL	DEXAMETHASONE	300 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S011023-112	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95643	10/23/2001	10/11/2005	10/13/2005	10/25/2005
92454.CEL	1-NAPHTHYL ISOTHIOCYANATE	60 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S010924-125	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96055	09/24/2001	10/25/2005	10/28/2005	11/08/2005
92304.CEL	BISPHENOL A	100 mg/kg	CORN OIL 100 %	ORAL GAVAGE	.25 d	KIDNEY	S011127-026	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95920	11/27/2001	10/20/2005	10/24/2005	11/03/2005
91932.CEL	BISPHENOL A	100 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S011127-030	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95594	11/27/2001	10/10/2005	10/11/2005	10/24/2005
92639.CEL	AMIKACIN	160 mg/kg	SALINE 100 %	INTRAPERITONEAL	5 d	KIDNEY	R030501-021	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96254	05/01/2003	11/01/2005	11/03/2005	11/14/2005
92484.CEL	DEXIBUPROFEN	239 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	R021008-066	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96098	10/08/2002	10/25/2005	10/28/2005	11/09/2005
92307.CEL	CERIVASTATIN	7 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S020211-113	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95923	02/11/2002	10/20/2005	10/24/2005	11/03/2005
91995.CEL	LOVASTATIN	450 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S011009-017	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95613	10/09/2001	10/10/2005	10/13/2005	10/24/2005
92325.CEL	CERIVASTATIN	7 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	S020211-118	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95941	02/11/2002	10/20/2005	10/24/2005	11/03/2005
92313.CEL	SPIRONOLACTONE	300 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	S020520-192	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95929	05/20/2002	10/20/2005	10/24/2005	11/03/2005
92357.CEL	PREDNISOLONE	184 mg/kg	WATER 100 %	ORAL GAVAGE	1 d	KIDNEY	S020513-090	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95972	05/13/2002	10/20/2005	10/26/2005	11/07/2005
92966.CEL			SALINE 100 %	ORAL GAVAGE	7 d	KIDNEY	S010924-034	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96566	09/24/2001	11/08/2005	11/15/2005	11/28/2005
92880.CEL	FLURBIPROFEN	10 mg/kg	CMC .5 %	ORAL GAVAGE	3 d	KIDNEY	S021028-068	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96485	10/28/2002	11/05/2005	11/04/2005	11/21/2005
92920.CEL			CORN OIL 100 %	ORAL GAVAGE	.25 d	KIDNEY	S010924-001	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96527	09/24/2001	11/08/2005	11/04/2005	11/22/2005
92302.CEL			CORN OIL 100 %	ORAL GAVAGE	.25 d	KIDNEY	S011016-003	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95918	10/16/2001	10/20/2005	10/24/2005	11/03/2005
92493.CEL			SALINE 100 %	ORAL GAVAGE	5 d	KIDNEY	S011127-211	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96107	11/27/2001	10/25/2005	10/28/2005	11/09/2005
92182.CEL	RITONAVIR	1200 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	S020429-352	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95796	04/29/2002	10/14/2005	10/19/2005	11/01/2005
92293.CEL	CANDESARTAN	1300 mg/kg	CMC .5 %	ORAL GAVAGE	3 d	KIDNEY	S020415-236	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95909	04/15/2002	10/20/2005	10/24/2005	11/03/2005
92153.CEL	AZATHIOPRINE	20 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S011016-114	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95727	10/16/2001	10/14/2005	10/17/2005	10/31/2005
92190.CEL			CORN OIL 100 %	ORAL GAVAGE	.25 d	KIDNEY	S011030-005	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95804	10/30/2001	10/18/2005	10/19/2005	11/01/2005
92362.CEL	LEAD(IV) ACETATE	600 mg/kg	SALINE 100 %	ORAL GAVAGE	1 d	KIDNEY	S020108-210	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95978	01/08/2002	10/20/2005	10/26/2005	11/07/2005
92449.CEL	LIPOPOLYSACCHARIDE E. COLI O55:B5	1.25 mg/kg	SALINE 100 %	INTRAVENOUS	3 d	KIDNEY	S020325-093	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96038	03/25/2002	10/25/2005	10/28/2005	11/08/2005
92314.CEL	GEMFIBROZIL	100 mg/kg	CORN OIL 100 %	ORAL GAVAGE	.25 d	KIDNEY	S011002-194	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95930	10/02/2001	10/20/2005	10/24/2005	11/03/2005
92423.CEL	CERIVASTATIN	7 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S020211-114	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95987	02/11/2002	10/25/2005	10/28/2005	11/08/2005
92517.CEL			SALINE 100 %	ORAL GAVAGE	5 d	KIDNEY	I011106-023	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96130	11/06/2001	10/28/2005	11/01/2005	11/09/2005
92479.CEL	N,N-DIMETHYLFORMAMIDE	1400 mg/kg	SALINE 100 %	ORAL GAVAGE	1 d	KIDNEY	I011106-089	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96093	11/06/2001	10/25/2005	10/28/2005	11/09/2005
91937.CEL	LOVASTATIN	1500 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011009-033	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95600	10/09/2001	10/10/2005	10/11/2005	10/24/2005
92075.CEL	CADMIUM CHLORIDE	66 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S020422-402	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95694	04/22/2002	10/11/2005	10/17/2005	10/27/2005
92115.CEL	BETA-ESTRADIOL	150 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	S011113-046	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95769	11/13/2001	10/14/2005	10/17/2005	10/31/2005
92443.CEL	N-NITROSODIETHYLAMINE	1.67 mg/kg	SALINE 100 %	ORAL GAVAGE	.25 d	KIDNEY	I011106-051	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96020	11/06/2001	10/25/2005	10/28/2005	11/08/2005
92467.CEL	ENALAPRIL	1500 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	S020708-144	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96081	07/08/2002	10/25/2005	10/28/2005	11/09/2005
92563.CEL	VALDECOXIB	404 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	R021022-191	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96176	10/22/2002	10/28/2005	11/01/2005	11/10/2005
92898.CEL			SALINE 100 %	INTRAPERITONEAL	14 d	KIDNEY	R030501-009	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96503	05/01/2003	11/08/2005	11/04/2005	11/21/2005
92526.CEL	TOBRAMYCIN	40 mg/kg	SALINE 100 %	INTRAPERITONEAL	5 d	KIDNEY	R030501-203	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96139	05/01/2003	10/28/2005	11/01/2005	11/09/2005
92483.CEL	STANNOUS FLUORIDE	90 mg/kg	WATER 100 %	ORAL GAVAGE	1 d	KIDNEY	S020909-281	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96097	09/09/2002	10/25/2005	10/28/2005	11/09/2005
92547.CEL	VALDECOXIB	404 mg/kg	CMC .5 %	ORAL GAVAGE	3 d	KIDNEY	R021022-187	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96160	10/22/2002	10/28/2005	11/01/2005	11/10/2005
92548.CEL			CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	R031120-001	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96161	11/20/2003	10/28/2005	11/01/2005	11/10/2005
92665.CEL	INDOMETHACIN	9.6 mg/kg	WATER 100 %	ORAL GAVAGE	3 d	KIDNEY	S011204-260	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96280	12/04/2001	11/01/2005	11/03/2005	11/15/2005
92652.CEL	N-NITROSODIETHYLAMINE	34 mg/kg	SALINE 100 %	ORAL GAVAGE	1 d	KIDNEY	I011106-066	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96267	11/06/2001	11/01/2005	11/03/2005	11/15/2005
92654.CEL	DEXIBUPROFEN	239 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	R021008-071	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96269	10/08/2002	11/01/2005	11/03/2005	11/15/2005
92788.CEL	HYDROCORTISONE	56 mg/kg	CORN OIL 100 %	SUBCUTANEOUS	1 d	KIDNEY	S020610-304	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96391	06/10/2002	11/03/2005	11/07/2005	11/16/2005
92394.CEL	DEXIBUPROFEN	239 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	R021008-072	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96045	10/08/2002	10/21/2005	10/26/2005	11/07/2005
92397.CEL	CADMIUM CHLORIDE	2 mg/kg	SALINE 100 %	INTRAPERITONEAL	5 d	KIDNEY	R030501-043	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96048	05/01/2003	10/21/2005	10/26/2005	11/07/2005
92952.CEL	SODIUM ARSENITE	30 mg/kg	SALINE 100 %	ORAL GAVAGE	7 d	KIDNEY	S010924-226	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96561	09/24/2001	11/08/2005	11/04/2005	11/28/2005
93113.CEL	SULCONAZOLE	40 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20050427-16254		Primary Rat Hepatocytes	RHCYT	In Vitro	16254	04/27/2005	11/21/2005	11/23/2005	12/01/2005
93287.CEL			DMSO .1 %	NONE	.67 d	CELL CULTURE	C20041019-16422		Primary Rat Hepatocytes	RHCYT	In Vitro	16422	10/19/2004	11/23/2005	12/01/2005	12/06/2005
93078.CEL	SPORIDESMIN A	.15 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20040929-16210		Primary Rat Hepatocytes	RHCYT	In Vitro	16210	09/29/2004	11/21/2005	11/23/2005	11/30/2005
92895.CEL			SALINE 100 %	INTRAPERITONEAL	3 d	KIDNEY	S011002-033	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96500	10/02/2001	11/08/2005	11/04/2005	11/21/2005
92270.CEL	LEAD (II) ACETATE	200 mg/kg	SALINE 100 %	ORAL GAVAGE	1 d	KIDNEY	S020108-174	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95886	01/08/2002	10/18/2005	10/24/2005	11/02/2005
92154.CEL	NIMESULIDE	162 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	KIDNEY	S011016-197	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95749	10/16/2001	10/14/2005	10/17/2005	10/31/2005
93176.CEL	RAPAMYCIN	20 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20041103-16302		Primary Rat Hepatocytes	RHCYT	In Vitro	16302	11/03/2004	11/22/2005	11/29/2005	12/01/2005
92323.CEL			SALINE 100 %	ORAL GAVAGE	1 d	KIDNEY	S020401-010	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95939	04/01/2002	10/20/2005	10/24/2005	11/03/2005
92990.CEL	2-AMINO-4-NITROPHENOL	625 mg/kg	CMC .5 %	ORAL GAVAGE	3 d	KIDNEY	R040825-056	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96651	08/25/2004	11/10/2005	11/15/2005	11/28/2005
93049.CEL	RAMIPRIL	1500 mg/kg	CMC .5 %	ORAL GAVAGE	3 d	KIDNEY	S020708-285	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96046	07/08/2002	10/21/2005	10/26/2005	11/29/2005
93311.CEL	CLOFIBRATE	500 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20050420-16402		Primary Rat Hepatocytes	RHCYT	In Vitro	16402	04/20/2005	11/23/2005	12/01/2005	12/06/2005
92614.CEL	CARBOPLATIN	5 mg/kg	SALINE 100 %	INTRAPERITONEAL	5 d	KIDNEY	R030501-062	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96229	05/01/2003	11/01/2005	11/03/2005	11/14/2005
92820.CEL	BROMOBENZENE	439 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	S030916-065	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96426	09/16/2003	11/05/2005	11/07/2005	11/17/2005
92983.CEL	2-AMINO-4-NITROPHENOL	625 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	R040825-059	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96644	08/25/2004	11/11/2005	11/15/2005	11/21/2005
92979.CEL			CORN OIL 100 %	ORAL GAVAGE	.25 d	KIDNEY	S020429-004	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96579	04/29/2002	11/08/2005	11/15/2005	11/28/2005
92601.CEL	ZOMEPIRAC	11 mg/kg	SALINE 100 %	ORAL GAVAGE	1 d	KIDNEY	S011127-282	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96214	11/27/2001	10/28/2005	11/01/2005	11/14/2005
92638.CEL			CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	R031120-003	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96253	11/20/2003	11/01/2005	11/03/2005	11/14/2005
92722.CEL	BACITRACIN	380 mg/kg	CORN OIL 100 %	SUBCUTANEOUS	3 d	KIDNEY	S020708-356	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96339	07/08/2002	11/03/2005	11/06/2005	11/16/2005
93031.CEL	VENLAFAXINE	1481 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20050322-16185		Primary Rat Hepatocytes	RHCYT	In Vitro	16185	03/22/2005	11/18/2005	11/21/2005	11/30/2005
92626.CEL	ROXARSONE	11 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	R031120-088	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96241	11/20/2003	11/01/2005	11/03/2005	11/14/2005
93057.CEL			SALINE 100 %	INTRAPERITONEAL	5 d	KIDNEY	S040707-014	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96297	07/07/2004	11/01/2005	11/03/2005	11/28/2005
92969.CEL			CORN OIL 100 %	ORAL GAVAGE	.25 d	KIDNEY	S020429-002	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96569	04/29/2002	11/08/2005	11/15/2005	11/28/2005
93004.CEL	DOXEPIN	132 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20050322-16158		Primary Rat Hepatocytes	RHCYT	In Vitro	16158	03/22/2005	11/18/2005	11/21/2005	11/29/2005
92505.CEL			CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	S020930-009	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96119	09/30/2002	10/25/2005	10/28/2005	11/09/2005
92596.CEL	TRANS-PLATINUM(II)DIAMMINE DICHLORIDE	.5 mg/kg	SALINE 100 %	INTRAPERITONEAL	5 d	KIDNEY	R030501-221	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96209	05/01/2003	10/28/2005	11/01/2005	11/14/2005
92791.CEL	BACITRACIN	380 mg/kg	CORN OIL 100 %	SUBCUTANEOUS	3 d	KIDNEY	S020708-357	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96395	07/08/2002	11/03/2005	11/07/2005	11/17/2005
