ARRAY_ID	CHEMICAL	DOSE	VEHICLE	ROUTE	DURATION	ORGAN_OR_CELL_TYPE	ANIMAL_ID	SEX	SPECIES	STRAIN	STUDY_TYPE	RNA_ID	TOXICOLOGY_EXPERIMENT_DATE	RNA_EXTRACTION_DATE	cRNA_PREP_DATE	HYB_DATE
94149.CEL	MESTRANOL	250 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	LIVER	S020617-179	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97038	06/17/2002	12/29/2005	01/03/2006	01/10/2006
94272.CEL	IMATINIB	15 mg/kg	WATER 100 %	ORAL GAVAGE	3 d	LIVER	S021021-031	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96950	10/21/2002	12/28/2005	01/04/2006	01/11/2006
93931.CEL	SIMVASTATIN	160 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20040519-16796		Primary Rat Hepatocytes	RHCYT	In Vitro	16796	05/19/2004	12/05/2005	12/08/2005	12/20/2005
93351.CEL	LOMUSTINE	560 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20040913-16484		Primary Rat Hepatocytes	RHCYT	In Vitro	16484	09/13/2004	11/28/2005	12/01/2005	12/07/2005
94135.CEL	CLOSANTEL	22 mg/kg	CMC .5 %	ORAL GAVAGE	3 d	LIVER	S020610-115	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97024	06/10/2002	12/29/2005	01/03/2006	01/10/2006
93901.CEL	IMATINIB	150 mg/kg	WATER 100 %	ORAL GAVAGE	5 d	KIDNEY	S021021-046	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96832	10/21/2002	12/14/2005	12/16/2005	12/20/2005
93843.CEL			DMSO .1 %	NONE	.67 d	CELL CULTURE	C20050317-16970		Primary Rat Hepatocytes	RHCYT	In Vitro	16970	03/17/2005	12/07/2005	12/12/2005	12/20/2005
94649.CEL	ECONAZOLE	43 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	LIVER	S011016-143	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97277	10/16/2001	01/06/2006	01/10/2006	01/24/2006
97672.CEL	IFOSFAMIDE	143 mg/kg	SALINE 100 %	ORAL GAVAGE	1 d	LIVER	I011106-040	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50981	11/06/2001	04/12/2006	04/17/2006	04/25/2006
97837.CEL			CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	R040825-009	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50650	08/25/2004	03/30/2006	04/18/2006	05/01/2006
97966.CEL	STREPTOMYCIN	120 mg/kg	SALINE 100 %	INTRAVENOUS	5 d	KIDNEY	S020916-287	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50850	09/16/2002	04/03/2006	04/24/2006	05/03/2006
98063.CEL	SODIUM ARSENITE	10 mg/kg	SALINE 100 %	ORAL GAVAGE	1 d	KIDNEY	S010924-198	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	51080	09/24/2001	04/18/2006	04/24/2006	05/09/2006
98414.CEL			DMSO .1 %	NONE	.67 d	CELL CULTURE	C20060509-17432		Primary Rat Hepatocytes	RHCYT	In Vitro	17432	05/09/2006	05/15/2006	05/23/2006	05/30/2006
97884.CEL			CORN OIL 100 %	SUBCUTANEOUS	5 d	KIDNEY	S020819-021	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50694	08/19/2002	03/30/2006	04/19/2006	05/02/2006
97933.CEL			CORN OIL 100 %	SUBCUTANEOUS	3 d	KIDNEY	S021014-014	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50830	10/14/2002	04/03/2006	04/19/2006	05/03/2006
101302.CEL	LEVOSULPIRIDE	1200 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	HEART	R020813-094	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	53256	08/13/2002	03/22/2007	04/12/2007	05/31/2007
101042.CEL			CMC .5 %	ORAL GAVAGE	3 d	THIGH MUSCLE	S020506-017	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	53142	05/06/2002	03/19/2007	03/26/2007	06/05/2007
101256.CEL	PHENYTOIN	572 mg/kg	WATER 100 %	ORAL GAVAGE	3 d	HEART	S020401-284	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	53210	04/01/2002	03/19/2007	04/20/2007	06/07/2007
101086.CEL			WATER 100 %	ORAL GAVAGE	3 d	HEART	S020318-018	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	53135	03/18/2002	03/19/2007	03/26/2007	06/04/2007
94511.CEL	LOVASTATIN	1500 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	LIVER	S011009-028	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97294	10/09/2001	01/06/2006	01/10/2006	01/24/2006
94270.CEL	IMATINIB	15 mg/kg	WATER 100 %	ORAL GAVAGE	5 d	LIVER	S021021-035	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96948	10/21/2002	12/28/2005	01/04/2006	01/11/2006
94170.CEL	CLONAZEPAM	2500 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	LIVER	S020408-096	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97059	04/08/2002	12/29/2005	01/03/2006	01/12/2006
93911.CEL			WATER 100 %	ORAL GAVAGE	5 d	KIDNEY	R050419-020	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96842	04/19/2005	12/14/2005	12/16/2005	12/21/2005
94153.CEL	FLUDROCORTISONE ACETATE	125 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	LIVER	S021021-184	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97042	10/21/2002	12/29/2005	01/03/2006	01/10/2006
94296.CEL	MLN-518	70 mg/kg	WATER 100 %	ORAL GAVAGE	3 d	LIVER	R050419-080	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96974	04/19/2005	12/28/2005	01/04/2006	01/12/2006
94445.CEL	MIFEPRISTONE	300 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	LIVER	S011030-088	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97222	10/30/2001	01/05/2006	01/09/2006	01/23/2006
94504.CEL	AZATHIOPRINE	20 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	LIVER	S011016-117	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97286	10/16/2001	01/06/2006	01/10/2006	01/24/2006
94162.CEL	MESTRANOL	250 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	LIVER	S020617-174	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97051	06/17/2002	12/29/2005	01/03/2006	01/12/2006
94515.CEL	DIETHYLSTILBESTROL	2.8 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	LIVER	S011030-172	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97298	10/30/2001	01/06/2006	01/10/2006	01/25/2006
